"cellid","y.1","y.2","y.3","g2.1","g2.2","g2.3","x.loc","y.loc"
2,0,0,0,0.571453110314906,0.386618518270552,-0.252952159848064,4.5,1.5
5,0,0,1,-0.194170208647847,-0.707313341554254,0.448146120645106,13.5,1.5
6,0,0,1,-0.374023992102593,0.938531447201967,-0.110097753349692,16.5,1.5
7,0,0,0,0.305666383821517,0.561040898319334,0.764746183995157,19.5,1.5
9,1,0,0,0.608117581345141,-0.415051228366792,0.108741268981248,25.5,1.5
23,0,0,0,0.127811749000102,-0.958597429096699,-0.970870273187757,67.5,1.5
31,1,0,0,-0.164054337888956,0.176598442252725,-0.136071397457272,91.5,1.5
33,0,0,1,-0.587035451550037,-0.18826073827222,-0.515147561207414,97.5,1.5
38,0,1,1,-0.338376751169562,0.897964577190578,0.373419739305973,112.5,1.5
40,0,0,0,0.363391200546175,-0.748818073421717,0.974652232602239,118.5,1.5
47,1,1,1,0.637591618578881,-0.0158933191560209,-0.34409060748294,139.5,1.5
48,1,1,1,-0.216453988105059,0.366446434054524,0.547216960694641,142.5,1.5
54,1,1,1,0.893459497950971,-0.753331588115543,-0.172390657942742,160.5,1.5
61,1,1,1,-0.307388291694224,0.368987278547138,-0.703118141740561,181.5,1.5
66,1,1,1,0.38606271147728,0.0613738102838397,-0.89829162415117,196.5,1.5
70,0,0,0,0.527840923517942,-0.566856872290373,0.66890954086557,208.5,1.5
72,1,1,1,0.533032813109457,-0.82473897235468,0.696055511478335,214.5,1.5
73,1,0,0,-0.479044098872691,0.858711956068873,-0.617550324182957,217.5,1.5
76,1,1,0,0.906748540233821,0.611835728865117,-0.487450341694057,226.5,1.5
87,0,0,0,-0.271627347916365,-0.0690609621815383,-0.941766916308552,259.5,1.5
92,0,0,0,0.274823359213769,0.919156752992421,0.427403646986932,274.5,1.5
93,1,1,0,-0.600865423213691,0.931286979932338,-0.680469506885856,277.5,1.5
95,1,1,0,-0.629708504769951,0.959312540479004,0.69725255202502,283.5,1.5
100,1,0,1,0.997611441649497,0.343071640003473,0.194288028869778,298.5,1.5
101,0,1,0,0.860454468522221,0.310782097745687,-0.593310146592557,1.5,4.5
102,0,0,0,-0.433051758445799,0.222117723897099,-0.740878271870315,4.5,4.5
116,0,0,0,0.200019321404397,0.644338457845151,-0.405586056876928,46.5,4.5
119,1,0,1,-0.666258212644607,0.149692170787603,0.818106284365058,55.5,4.5
121,0,1,0,-0.449022036977112,0.254757100716233,0.840320586226881,61.5,4.5
