"cellid","y1","y2","y3","g1","g2","g3","time","x.loc","y.loc"
2,NA,1,1,-0.65978666767478,0.00155513174831867,-0.347442600410432,1,4.5,1.5
2,0,0,0,0.0874496209435165,0.869072009809315,-0.939810407347977,2,4.5,1.5
2,0,0,0,0.257370822597295,0.630640522576869,-0.12584816198796,3,4.5,1.5
2,0,0,0,-0.103702886961401,0.928735448047519,-0.701119317673147,4,4.5,1.5
2,1,1,NA,0.740074268076569,-0.506387795787305,0.920140182133764,5,4.5,1.5
5,0,0,0,-0.0848077028058469,0.206081502139568,0.73564872937277,1,13.5,1.5
5,0,0,0,-0.256059084553272,-0.756120007950813,0.0751181151717901,2,13.5,1.5
5,0,0,0,0.0580097148194909,-0.406633200589567,0.209032769314945,3,13.5,1.5
5,1,1,1,0.161403227597475,-0.896533940453082,-0.932390503585339,4,13.5,1.5
5,0,NA,NA,-0.608706352766603,0.0216081826947629,-0.45738883735612,5,13.5,1.5
6,0,0,0,-0.984669729135931,0.942702002357692,-0.542031879536808,1,16.5,1.5
6,0,0,0,0.0245862482115626,0.166257095523179,-0.35106312436983,2,16.5,1.5
6,0,0,0,0.903551305644214,-0.993636971339583,-0.348088856320828,3,16.5,1.5
6,NA,0,0,0.0715956194326282,-0.37282360997051,-0.09991943417117,4,16.5,1.5
6,0,NA,1,-0.729444046504796,-0.591942641884089,-0.939692985266447,5,16.5,1.5
7,0,0,NA,0.0498022683896124,0.803172779269516,-0.19483340671286,1,19.5,1.5
7,0,0,0,0.201630252879113,0.41315125208348,0.895436799153686,2,19.5,1.5
7,0,0,0,0.133605481591076,-0.0586346038617194,0.825060496106744,3,19.5,1.5
7,0,0,0,-0.475901818834245,-0.965097750537097,0.626216230913997,4,19.5,1.5
7,0,0,0,0.356058094650507,-0.712335848249495,-0.52324033761397,5,19.5,1.5
9,0,0,1,0.276086704805493,-0.970117757096887,-0.355388625524938,1,25.5,1.5
9,0,NA,0,-0.45270049571991,0.769006159622222,-0.10671126190573,2,25.5,1.5
9,0,NA,0,0.523356690071523,0.724389360751957,0.604892764240503,3,25.5,1.5
9,0,0,0,0.129733293317258,-0.238011753186584,0.24032147647813,4,25.5,1.5
9,1,1,0,0.851769109722227,-0.406347089912742,0.763894126750529,5,25.5,1.5
23,0,1,1,-0.624446899630129,-0.368042557034642,0.114222534932196,1,67.5,1.5
23,NA,0,NA,0.00615469645708799,0.10559305595234,-0.237196022644639,2,67.5,1.5
23,0,0,0,0.565366776660085,-0.0185798984020948,0.802034321241081,3,67.5,1.5
23,0,0,0,-0.258775247260928,0.9374815444462,-0.975420995615423,4,67.5,1.5
23,0,0,0,-0.0481533058919013,0.511441711802036,0.804783522151411,5,67.5,1.5
31,0,0,0,-0.549789847806096,-0.609932803548872,0.346552175004035,1,91.5,1.5
31,NA,0,0,-0.180588114541024,-0.278260031249374,0.694429982919246,2,91.5,1.5
31,0,0,0,0.708170366939157,0.210597567260265,0.306823243852705,3,91.5,1.5
31,0,0,0,0.943600196857005,0.428782555740327,-0.74065254535526,4,91.5,1.5
31,NA,0,0,0.230513727292418,-0.286107386928052,-0.413032515905797,5,91.5,1.5
33,0,NA,0,0.535216165240854,-0.637800525873899,-0.715888379141688,1,97.5,1.5
33,0,0,0,0.541499467566609,0.208615544717759,0.632090643048286,2,97.5,1.5
33,0,0,0,-0.548170023597777,0.518335869535804,0.906277570407838,3,97.5,1.5
33,0,0,0,-0.807430553715676,-0.427299644332379,0.25585064990446,4,97.5,1.5
33,0,0,0,-0.675574097782373,-0.944985814858228,0.727036404889077,5,97.5,1.5
38,0,0,0,-0.165358064696193,-0.562342799268663,0.259545089211315,1,112.5,1.5
38,0,0,0,-0.448077367153019,-0.813416718505323,0.628569376189262,2,112.5,1.5
38,0,0,0,0.397770395036787,-0.934730092529207,-0.667438272852451,3,112.5,1.5
38,0,0,0,-0.754888945259154,0.122413326520473,0.0132443443872035,4,112.5,1.5
38,0,0,0,0.678552264347672,-0.716436031274498,0.0673333960585296,5,112.5,1.5
40,0,0,0,-0.870053015649319,0.327967606019229,-0.652233783621341,1,118.5,1.5
40,0,0,0,-0.0638736463151872,-0.544892692472786,0.339485706761479,2,118.5,1.5
40,NA,1,1,0.879089905880392,-0.628612827509642,-0.557182637508959,3,118.5,1.5
40,0,1,1,-0.00344830472022295,-0.756254257168621,-0.580274187028408,4,118.5,1.5
40,1,1,0,-0.942761859390885,-0.66264487337321,-0.0389869939535856,5,118.5,1.5
47,0,0,NA,-0.798908055759966,0.999347095377743,0.494908673688769,1,139.5,1.5
47,0,0,0,0.127381482161582,0.478198148310184,0.421362910885364,2,139.5,1.5
47,0,0,0,0.947296585887671,-0.74905562447384,0.976406064815819,3,139.5,1.5
47,0,0,0,0.997889291960746,-0.553460516035557,-0.959307923447341,4,139.5,1.5
47,0,0,0,0.873185101430863,-0.275325152557343,0.548562038689852,5,139.5,1.5
48,0,NA,0,-0.686990252695978,0.722722605802119,0.144879918545485,1,142.5,1.5
48,0,0,0,-0.14592244150117,0.210063684266061,0.555402035824955,2,142.5,1.5
48,0,0,0,-0.105390401557088,0.566781585570425,-0.213973399717361,3,142.5,1.5
48,0,0,0,0.825672226492316,0.297579152975231,-0.516875464934856,4,142.5,1.5
48,0,0,0,0.410956999287009,0.420845632441342,0.371675274800509,5,142.5,1.5
54,0,NA,0,-0.608837339095771,0.46173752984032,0.284829259384423,1,160.5,1.5
54,0,NA,0,0.536102376878262,-0.417437892407179,0.57154215592891,2,160.5,1.5
54,0,0,0,0.940246642567217,-0.521840821485966,0.444912364706397,3,160.5,1.5
54,0,1,0,-0.047012738417834,-0.428187305107713,0.279477230738848,4,160.5,1.5
54,1,1,0,0.328761138487607,-0.297448120545596,-0.844318449497223,5,160.5,1.5
61,0,0,NA,-0.352769383229315,-0.265784827526659,-0.736745759379119,1,181.5,1.5
61,0,0,0,0.324808971490711,-0.91343150427565,0.80247327266261,2,181.5,1.5
61,1,0,0,-0.421376708429307,0.374319602269679,0.796345363371074,3,181.5,1.5
61,0,0,0,-0.875239206478,0.473362278193235,-0.843912545125932,4,181.5,1.5
61,0,0,0,0.644368572160602,0.683708706405014,-0.699607243295759,5,181.5,1.5
66,0,0,0,0.480859369505197,0.977164533920586,0.588916930370033,1,196.5,1.5
66,0,0,0,0.551976388785988,0.0682520717382431,0.85999692697078,2,196.5,1.5
66,0,0,0,-0.359408750664443,-0.827068837825209,-0.962150080595165,3,196.5,1.5
66,0,0,NA,-0.503039010800421,-0.342471777461469,0.597373908851296,4,196.5,1.5
66,0,NA,0,-0.250704797916114,0.99118440458551,0.188946656417102,5,196.5,1.5
70,NA,0,0,-0.987771969288588,-0.39413890009746,0.485320817213506,1,208.5,1.5
70,NA,0,0,0.966420620679855,0.117488562129438,-0.0732193952426314,2,208.5,1.5
70,0,0,0,0.769928184337914,0.215399489738047,-0.0821095826104283,3,208.5,1.5
70,0,0,0,0.972871063742787,-0.274211775511503,0.844043586868793,4,208.5,1.5
70,0,0,0,0.614121777005494,0.165186590980738,-0.368440537713468,5,208.5,1.5
72,0,0,0,0.82803249778226,-0.255140386987478,0.914813946932554,1,214.5,1.5
72,0,0,0,0.944382807705551,-0.523479154799134,0.8189562051557,2,214.5,1.5
72,0,0,0,-0.907564964611083,0.644379313569516,0.802709404379129,3,214.5,1.5
72,0,0,0,-0.177204043138772,0.243339235894382,-0.796449600718915,4,214.5,1.5
72,0,0,0,0.986321798060089,-0.913612503558397,-0.632244080305099,5,214.5,1.5
73,0,NA,0,0.708564675413072,-0.957129315473139,-0.657981058582664,1,217.5,1.5
73,0,0,0,0.894019769504666,-0.683781921397895,0.810065710451454,2,217.5,1.5
73,0,0,0,-0.0440117665566504,0.79780564783141,0.132169913500547,3,217.5,1.5
73,0,0,0,0.401816875208169,0.502501816023141,0.796426781918854,4,217.5,1.5
73,0,0,0,-0.336271321401,-0.900288589298725,0.0196846649050713,5,217.5,1.5
76,0,NA,0,0.253375678788871,0.574407004751265,0.374181183520705,1,226.5,1.5
76,0,0,0,0.072919424623251,0.0262191058136523,0.957411139272153,2,226.5,1.5
76,0,0,NA,-0.43364663887769,-0.686104457359761,0.597613662481308,3,226.5,1.5
76,0,0,0,0.54037255467847,-0.572302200831473,-0.396725005935878,4,226.5,1.5
76,0,0,NA,-0.414472617208958,-0.51579506136477,-0.155488889664412,5,226.5,1.5
87,0,0,0,0.967100336682051,-0.0639619524590671,-0.840853759553283,1,259.5,1.5
87,NA,0,NA,-0.950012089218944,0.418190193362534,0.194062946364284,2,259.5,1.5
87,0,0,NA,0.909657130949199,-0.235507741570473,-0.845853729173541,3,259.5,1.5
87,NA,0,0,-0.930574769619852,-0.9340063277632,0.983754111453891,4,259.5,1.5
87,NA,0,0,0.52563845878467,-0.628177736885846,0.709628369193524,5,259.5,1.5
92,0,0,0,0.166740383021533,0.330551259219646,-0.277911152690649,1,274.5,1.5
92,0,0,0,0.831982860341668,-0.219379318412393,-0.541895399801433,2,274.5,1.5
92,1,NA,0,-0.779243552591652,0.0471943593584001,-0.469696989748627,3,274.5,1.5
92,NA,0,0,-0.71242135297507,-0.116158736869693,-0.341524588409811,4,274.5,1.5
92,0,0,0,-0.829481123015285,-0.926983916666359,-0.206808290444314,5,274.5,1.5
93,0,0,NA,0.102151103317738,-0.00442833267152309,0.758064841385931,1,277.5,1.5
93,0,0,NA,-0.23124574450776,0.936077498365194,0.212770083453506,2,277.5,1.5
93,0,0,0,-0.48001061193645,-0.745831709355116,-0.862115412019193,3,277.5,1.5
93,NA,0,0,-0.199578239116818,-0.51157603552565,-0.909301607869565,4,277.5,1.5
93,0,1,0,-0.260611925739795,-0.702090478502214,0.210962192621082,5,277.5,1.5
95,0,0,0,-0.202341884374619,0.63246042188257,-0.477616572286934,1,283.5,1.5
95,0,0,0,-0.903319599572569,-0.93965103244409,0.690738903358579,2,283.5,1.5
95,0,0,0,0.617890920024365,0.580572466365993,0.890459624584764,3,283.5,1.5
95,0,0,0,0.982777148485184,-0.413786794990301,-0.140679770149291,4,283.5,1.5
95,0,0,0,-0.806772622279823,-0.156791868619621,-0.491029835771769,5,283.5,1.5
100,0,0,0,-0.493583773262799,0.431235664524138,0.303343575447798,1,298.5,1.5
100,0,0,0,0.185827882494777,0.740894584450871,0.870156647637486,2,298.5,1.5
100,0,0,NA,0.696311470121145,-0.385311582591385,0.922941862605512,3,298.5,1.5
100,0,NA,0,0.907792720943689,0.59589416673407,0.826199208386242,4,298.5,1.5
100,NA,0,0,0.550175618380308,0.543482890352607,-0.0987100126221776,5,298.5,1.5
101,0,0,0,-0.207124716136605,0.0936933122575283,-0.303534087724984,1,1.5,4.5
101,0,0,0,-0.4601991167292,0.221612487453967,-0.162278341129422,2,1.5,4.5
101,0,1,1,0.909733123145998,-0.916497386526316,-0.664269683882594,3,1.5,4.5
101,NA,0,0,0.0304700024425983,0.698862955439836,0.0776079017668962,4,1.5,4.5
101,NA,0,1,-0.597854425664991,0.87545353686437,0.15674447035417,5,1.5,4.5
102,0,0,0,-0.790217278059572,0.0425617001019418,-0.0633159927092493,1,4.5,4.5
102,0,1,0,0.705463480204344,-0.584570339880884,0.436871876008809,2,4.5,4.5
102,0,0,0,0.00529264193028212,-0.041409756988287,0.0639432570897043,3,4.5,4.5
102,0,0,1,-0.807193930726498,-0.316311510745436,-0.715305451769382,4,4.5,4.5
102,NA,0,1,-0.942055830266327,0.877710253000259,-0.28367490042001,5,4.5,4.5
116,0,0,0,0.471558155491948,0.807904538232833,-0.0117958104237914,1,46.5,4.5
116,0,0,0,-0.114770791959018,0.0971915307454765,-0.615690169855952,2,46.5,4.5
116,0,0,0,-0.461469781585038,0.118149979505688,-0.867508916649967,3,46.5,4.5
116,0,0,0,0.362642957828939,-0.995637999847531,0.319133915938437,4,46.5,4.5
116,0,1,1,0.0296330801211298,-0.410970145370811,-0.57508259313181,5,46.5,4.5
119,NA,0,NA,0.416972947306931,0.749476876109838,0.718283731956035,1,55.5,4.5
119,0,0,0,0.797388464212418,0.16921875718981,0.544079976622015,2,55.5,4.5
119,0,0,0,0.46682016318664,0.480449412949383,0.40961731178686,3,55.5,4.5
119,0,0,0,-0.700128419790417,-0.441163110081106,0.385775002185255,4,55.5,4.5
119,0,0,0,-0.432374398689717,0.38252464774996,0.540474122855812,5,55.5,4.5
121,0,0,0,0.473894344177097,-0.51334911538288,-0.307034364901483,1,61.5,4.5
121,NA,0,0,-0.672696578316391,0.444501796271652,-0.548462920822203,2,61.5,4.5
121,0,0,0,-0.0250060129910707,-0.210888273548335,0.58361488301307,3,61.5,4.5
121,0,0,0,0.0846518101170659,-0.916810140945017,-0.369017352815717,4,61.5,4.5
121,NA,0,0,-0.095053359400481,-0.503680891357362,0.540736472699791,5,61.5,4.5
123,0,0,0,-0.282785191200674,-0.388439316302538,-0.174534714315087,1,67.5,4.5
123,0,0,0,-0.46861782995984,-0.538665054831654,-0.248139339964837,2,67.5,4.5
123,0,0,0,0.0522783398628235,0.777381437830627,0.494880526792258,3,67.5,4.5
123,0,NA,0,0.988822695799172,-0.722691846080124,-0.82889837352559,4,67.5,4.5
123,0,0,0,-0.934781377203763,0.0458741425536573,0.378673124592751,5,67.5,4.5
130,0,0,0,0.343746182043105,-0.228411571122706,-0.883470825385302,1,88.5,4.5
130,0,0,0,0.0880557373166084,0.795602407772094,-0.14863778045401,2,88.5,4.5
130,1,1,1,-0.38048715190962,-0.399500065483153,-0.912701278459281,3,88.5,4.5
130,0,0,0,0.363028892315924,0.874902759213001,-0.462013406213373,4,88.5,4.5
130,0,0,0,0.0134116825647652,0.0975166456773877,-0.414184636902064,5,88.5,4.5
131,0,0,0,-0.698098798748106,0.809159876778722,-0.308718448039144,1,91.5,4.5
131,1,0,NA,-0.498004032298923,0.0305630601942539,0.381385131273419,2,91.5,4.5
131,1,1,0,-0.712216604035348,-0.422257112339139,0.294224458746612,3,91.5,4.5
131,1,0,0,-0.0282063889317214,0.862719940952957,0.55324254417792,4,91.5,4.5
131,0,0,0,0.201660452410579,-0.247708417940885,-0.885288299992681,5,91.5,4.5
136,NA,0,0,0.043394333217293,-0.182711220346391,-0.455804253928363,1,106.5,4.5
136,0,0,0,-0.359724319539964,0.551332441158593,0.140020415652543,2,106.5,4.5
136,NA,0,0,-0.460115899331868,-0.105856291018426,0.679193110205233,3,106.5,4.5
136,0,0,0,-0.0546454708091915,-0.573705268092453,-0.8687579263933,4,106.5,4.5
136,0,0,0,-0.718099592253566,0.798584909178317,-0.546231052838266,5,106.5,4.5
139,0,0,0,-0.075402018148452,-0.978315064683557,-0.34884564159438,1,115.5,4.5
139,0,0,0,-0.63538506673649,-0.548272136598825,-0.304326538927853,2,115.5,4.5
139,0,0,0,-0.810286852996796,-0.385253077372909,0.624339302070439,3,115.5,4.5
139,0,0,NA,0.252384494058788,-0.488191623706371,0.66105553181842,4,115.5,4.5
139,0,0,0,0.34730386454612,0.695128917228431,0.190969314426184,5,115.5,4.5
149,0,0,NA,0.618507456034422,-0.300613374914974,-0.300333031453192,1,145.5,4.5
149,NA,0,0,0.741326725110412,0.584876266308129,0.781974410638213,2,145.5,4.5
149,0,0,0,0.692446728236973,0.29166328208521,0.904417164158076,3,145.5,4.5
149,0,0,0,0.848231007345021,-0.173851096071303,-0.48950392473489,4,145.5,4.5
149,1,1,0,-0.504787740297616,-0.320271177683026,0.882189264521003,5,145.5,4.5
151,0,0,0,0.0643083374015987,0.627864645328373,0.557551145087928,1,151.5,4.5
151,0,0,NA,-0.192313011270016,-0.92326199542731,0.0502109448425472,2,151.5,4.5
151,0,NA,NA,-0.473510878626257,0.713531688787043,0.00352681521326303,3,151.5,4.5
151,0,0,0,0.590142392553389,-0.572326984722167,0.428759041707963,4,151.5,4.5
151,NA,0,0,0.207398860249668,0.450835131574422,0.50887140026316,5,151.5,4.5
155,0,0,0,-0.300766701810062,0.106632090639323,-0.782064934726804,1,163.5,4.5
155,NA,0,0,0.734720272943377,-0.384491776581854,-0.453167872037739,2,163.5,4.5
155,0,0,0,-0.934749036096036,-0.412640675902367,-0.152955840341747,3,163.5,4.5
155,0,1,1,0.582873378880322,-0.120875956490636,-0.237233688123524,4,163.5,4.5
155,0,0,0,0.467058549635112,-0.818637758959085,0.296558881178498,5,163.5,4.5
158,0,0,0,-0.812229302246124,0.249687444418669,0.250832875724882,1,172.5,4.5
158,0,0,NA,0.450019937939942,-0.25540737900883,0.971134346909821,2,172.5,4.5
158,0,0,0,-0.963054345920682,0.642720052972436,0.62095349887386,3,172.5,4.5
158,1,0,0,-0.183923151809722,0.364147778134793,0.017558594699949,4,172.5,4.5
158,0,1,1,0.467271083034575,-0.721287986729294,0.0997128207236528,5,172.5,4.5
159,0,0,0,-0.339837708510458,-0.775445600040257,-0.421467648353428,1,175.5,4.5
159,0,0,0,-0.856088327243924,-0.328452500514686,-0.525551321916282,2,175.5,4.5
159,0,0,0,0.0201385333202779,0.639834657777101,-0.349786051549017,3,175.5,4.5
159,0,0,0,-0.39232216309756,0.132830837275833,0.27440058067441,4,175.5,4.5
159,1,1,0,0.786404803860933,-0.767862914595753,-0.426709442399442,5,175.5,4.5
164,0,0,0,-0.115862702485174,0.0915270340628922,-0.0132115380838513,1,190.5,4.5
164,0,0,0,-0.627396763302386,0.32303536310792,-0.537310168147087,2,190.5,4.5
164,0,0,0,0.260946776717901,-0.965461703948677,0.391455971170217,3,190.5,4.5
164,0,0,0,0.782246120274067,-0.10764033254236,-0.821799500845373,4,190.5,4.5
164,0,0,0,0.565496829338372,0.262210367713124,-0.380593413952738,5,190.5,4.5
168,0,NA,0,-0.91264300653711,-0.412984651047736,-0.47249041730538,1,202.5,4.5
168,0,0,0,-0.638943487312645,0.303729140199721,-0.317677604500204,2,202.5,4.5
168,0,0,0,-0.42167554795742,0.909030925482512,-0.226428994908929,3,202.5,4.5
168,0,0,0,-0.810429851524532,-0.72293813386932,-0.570856150239706,4,202.5,4.5
168,0,0,0,-0.500454653054476,-0.952258340548724,0.266717792488635,5,202.5,4.5
169,0,0,0,-0.354226936586201,-0.484643063507974,-0.635892513208091,1,205.5,4.5
169,0,0,0,-0.702626358252019,0.783908577170223,0.432330828625709,2,205.5,4.5
169,0,0,0,-0.347750625107437,-0.0853813928551972,0.049170489422977,3,205.5,4.5
169,0,0,0,0.926555430982262,-0.787316036876291,-0.811198633164167,4,205.5,4.5
169,0,0,0,-0.977076945826411,-0.952255364041775,0.270648397970945,5,205.5,4.5
